,x,y
0,-4.67595,7.459945
1,1.2151936,2.2655864
2,1.166741,2.2191777
3,1.1851265,2.2538564
4,1.1787404,2.2732973
5,1.0184796,2.158017
6,7.8670683,2.199737
7,5.2744875,1.9820553
8,1.275976,2.3404489
9,1.2523822,2.2737153
10,1.1917592,2.2753937
11,1.211363,2.219222
12,1.2355299,2.2936585
13,1.3725061,2.4099317
14,1.1639206,2.176794
15,1.1190509,2.1890614
16,1.0650657,2.1701555
17,1.2326478,2.3058507
18,1.2311523,2.2642872
19,1.1392835,2.1977344
20,1.175796,2.247379
21,1.115917,2.1977015
22,1.1476502,2.2097142
23,1.2210747,2.283522
24,1.1843388,2.2544982
25,1.1721029,2.2172086
26,1.1843466,2.2367597
27,1.17896,2.259287
28,1.2363293,2.2815683
29,1.3059092,2.303216
30,1.1225215,2.2130346
31,1.156166,2.2362883
32,5.4016824,1.9238901
33,6.6945267,-4.689895
34,6.7139063,-4.581158
35,6.736445,-4.8472257
36,1.3256513,2.3147616
37,6.7479095,-5.0037565
38,6.776039,-5.193606
39,6.124119,1.0477697
40,6.22302,2.1896954
41,5.7742176,2.0053422
42,6.276657,0.30256036
43,6.17543,1.230725
44,5.4139743,0.81676847
45,5.1881595,0.48588294
46,5.6693296,2.1883059
47,6.282855,1.8540294
48,6.3189344,2.2907424
49,5.450633,1.2266133
50,6.020135,2.1306984
51,5.4784184,0.44758368
52,5.611175,1.2764931
53,5.6417656,1.1173351
54,5.341011,1.5469823
55,5.227844,0.6087502
56,5.8302183,2.2432861
57,5.8518143,1.6171552
58,6.862797,2.9702387
59,6.0800824,0.7961269
60,5.3241324,1.0092014
61,6.279977,2.227135
62,5.604759,2.1295521
63,5.936892,0.82392806
64,5.5322556,0.5783043
65,5.233958,0.25304368
66,6.1251965,0.7711933
67,6.3074045,2.2808545
68,6.1402507,1.1541427
69,5.67498,1.5144702
70,5.9540873,1.6466373
71,5.330985,1.3435756
72,5.8455243,2.1202412
73,5.386567,1.3250219
74,5.317412,1.066372
75,5.606991,1.2871389
76,5.7599654,1.3530076
77,5.8755174,1.9070303
78,5.91637,0.9388665
79,6.167782,0.36044353
80,5.8185105,2.162229
81,5.36886,1.4524108
82,6.2880015,2.0535579
83,5.6912336,2.175365
84,5.7444973,1.3645319
85,5.500972,1.109458
86,6.1855855,0.90299696
87,5.316364,1.2737724
88,6.2723866,2.2739139
89,6.0820255,2.0384986
90,5.1786456,0.36277026
91,6.1192026,1.2969664
92,6.263846,1.6442065
93,5.850516,1.0179948
94,5.5322576,0.61296135
95,6.267693,0.5282395
96,5.927745,1.3696496
97,6.0254865,0.85450226
98,5.7701283,1.9582053
99,5.364983,0.98570955
100,6.194462,0.45844135
101,5.7526054,1.3630445
102,5.654171,1.1346095
103,5.481622,0.6482131
104,5.3938603,1.1268655
105,5.5888276,1.312115
106,5.8191385,1.807852
107,5.7525744,1.3531554
108,6.150047,2.2199323
109,5.887412,1.654905
110,5.890483,1.6725895
111,5.7986245,1.9973639
112,6.183481,1.4112725
113,5.954837,2.2566454
114,6.1468916,1.1192833
115,5.4604955,1.0911157
116,5.61843,1.3231388
117,5.636944,1.4594331
118,5.874757,2.193885
119,5.6507354,1.393916
120,5.789594,1.277012
121,6.1768684,0.50682545
122,5.5017834,1.3204241
123,5.395289,1.55584
124,5.932757,0.44660026
125,5.787377,1.2606348
126,5.4447803,1.5705806
127,5.4853516,1.0695904
128,5.3313065,0.7053722
129,6.1132207,0.3591908
130,5.345877,0.89310986
131,5.477019,0.46571738
132,5.242148,0.30491754
133,6.3063226,0.2581261
134,6.1615534,0.2924234
135,5.150191,0.5914363
136,5.9654455,2.114123
137,5.3420663,1.1039357
138,5.411586,1.1168056
139,5.656987,0.2614997
140,6.2793436,0.30474225
141,5.1990657,0.88869786
142,5.508488,0.5146625
143,5.331581,0.32621932
144,5.2606206,0.22455397
145,6.8003817,2.671256
146,6.2671304,0.5847471
147,6.1054826,0.9242438
148,6.607626,2.2423918
149,5.39471,1.6592135
150,5.3889074,1.3199799
151,6.1573677,1.3669554
152,6.2174597,0.59622926
153,5.45927,1.3592747
154,5.9067035,2.2776935
