,x,y
0,13.9761305,6.787157
1,14.155493,6.9729204
2,14.088058,6.8882236
3,14.170619,7.001432
4,14.190265,7.069634
5,14.164127,7.008167
6,14.146676,6.9980297
7,14.225483,6.9377737
8,14.110873,6.95091
9,14.088982,6.896644
10,14.105439,6.905766
11,14.124444,6.9462767
12,14.133546,6.968185
13,14.0376215,6.8672347
14,14.092565,6.876975
15,14.146959,7.0200047
16,14.123546,6.919519
17,14.124767,6.9424176
18,14.221448,7.0234733
19,14.198831,6.984321
20,14.112761,6.9254727
21,14.114955,6.9304914
22,14.187689,6.969318
23,14.207645,6.9591217
24,14.143615,7.0132413
25,14.187306,7.0166717
26,14.14292,6.9676895
27,14.20681,7.0343924
28,14.218305,7.0069156
29,14.11178,6.9317746
30,14.145872,7.021729
31,14.141032,6.9567986
32,14.203736,6.891829
33,4.5428863,-2.4802728
34,4.5345683,-2.5034952
35,4.5234165,-2.4878957
36,4.5488167,-2.5337772
37,4.547144,-2.5492575
38,4.5732675,-2.597129
39,11.140048,3.581573
40,12.239262,4.1838264
41,12.581231,3.4797666
42,10.899155,3.4314187
43,11.529488,3.7810533
44,11.985468,2.6904864
45,11.720334,4.1683855
46,12.231676,3.4902217
47,11.759977,4.1342587
48,12.207368,4.1279674
49,12.529304,3.3975892
50,12.158587,4.210877
51,11.6790905,2.9702003
52,11.768825,3.641452
53,11.89933,3.8895433
54,12.041401,2.5126832
55,12.123257,2.5509195
56,12.115558,4.1493583
57,11.843323,4.207946
58,11.850122,4.1658387
59,11.12663,3.5625954
60,12.287123,3.7376337
61,12.0979395,4.198934
62,12.214286,3.461673
63,12.33308,3.2903678
64,11.962605,3.1610801
65,11.993201,2.5882795
66,11.3942995,3.8322666
67,12.189869,4.14889
68,11.472996,3.991597
69,11.860423,3.6415772
70,11.639256,3.7037165
71,12.128582,3.411543
72,12.006536,4.282376
73,12.528116,3.2746258
74,12.2488165,3.235231
75,11.690803,3.7925825
76,12.015139,3.4081008
77,12.349929,3.8197446
78,11.448535,3.9131913
79,11.022708,3.429033
80,12.623245,3.6095529
81,11.844236,4.2118177
82,12.109892,4.160029
83,12.470581,3.769705
84,12.220088,3.4372387
85,11.934671,3.6952248
86,11.112645,3.6782048
87,12.214848,3.3265142
88,12.058595,4.1342683
89,12.0698805,4.190023
90,12.452124,3.4545002
91,11.543146,3.9432714
92,11.786038,4.15868
93,11.656589,3.5706022
94,12.09735,3.15704
95,11.024513,3.465121
96,11.841529,3.785127
97,11.133804,3.5726018
98,12.301665,3.8574586
99,11.14333,3.5959911
100,11.025528,3.5468047
101,11.916673,3.7235215
102,11.645993,3.5795338
103,12.3553295,3.4310775
104,12.195698,2.9483013
105,11.9276285,3.288859
106,12.277595,3.7928991
107,11.544881,3.5914354
108,12.28666,3.9468482
109,11.792895,4.129551
110,11.694464,3.9146097
111,12.352812,3.8578014
112,11.780277,4.0662727
113,12.117502,4.239724
114,11.292665,3.6954424
115,12.125203,2.9360397
116,12.233028,3.4318068
117,11.762865,3.8420699
118,12.33546,3.7607071
119,12.059303,3.5053267
120,11.590272,3.7731419
121,10.948575,3.467124
122,12.539918,3.4448788
123,12.182031,3.4466813
124,11.083796,3.474222
125,11.608094,3.436264
126,12.031449,3.8490388
127,12.3361025,2.8972783
128,11.841148,2.992917
129,10.958693,3.385833
130,12.201609,2.5963042
131,12.110134,2.5302494
132,11.991154,2.7281775
133,10.838336,3.468215
134,10.949715,3.4269547
135,10.936443,3.4234433
136,12.375775,3.8807812
